,count,mean,std,min,25%,50%,75%,max
us_aqi,31248.0,151.52937788018434,47.201271478194215,56.0,117.0,152.0,174.0,538.0
pm2_5,31248.0,68.08937532002048,48.174130144068535,3.4,36.0,52.9,83.6,365.1
pm10,31248.0,102.2414778545827,71.72357223518532,3.6,55.2,82.2,128.5,890.3
carbon_monoxide,31248.0,1313.7110535074244,1259.0410428912337,87.0,491.0,846.0,1683.0,12926.0
nitrogen_dioxide,31248.0,41.17632808499744,35.88476923035626,0.0,13.2,30.1,61.2,299.9
sulphur_dioxide,31248.0,16.44471006144393,9.771759255994844,0.1,9.9,13.6,19.8,94.4
ozone,31248.0,88.96492575524833,65.16248982569493,0.0,34.0,72.0,141.0,332.0
temperature_2m,31248.0,23.82590565796211,8.678368476358886,1.1,17.2,25.2,30.3,46.5
relative_humidity_2m,31248.0,64.10413466461854,23.01313013618257,5.0,47.0,67.0,83.0,100.0
wind_speed_10m,31248.0,6.881182795698925,4.001289497896632,0.0,4.1,6.3,8.9,37.2
